eventid,name
1,Pass
2,Offside Pass
3,Take On
4,Foul
5,Out
6,Corner Awarded
7,Tackle
8,Interception
10,Save
11,Claim
12,Clearance
13,Miss
14,Post
15,Attempt Saved
16,Goal
17,Card
18,Player off
19,Player on
20,Player retired
21,Player returns
22,Player becomes GK
23,Goalkeeper becomes player
24,Condition change
25,Official change
27,Start delay
28,End delay
30,End
32,Start
34,Team set up
35,Player changed position
36,Player changed jersey number
37,Collection End 
38,Temp_Goal
39,Temp_Attempt
40,Formation change 
41,Punch
42,Good Skill
43,Deleted event
44,Aerial
45,Challenge Lost
47,Rescinded card
49,Ball recovery
50,Dispossessed
51,Error
52,Keeper pick-up
53,Cross not claimed
54,Smother
55,Offside provoked
56,Shield ball opp
57,Foul throw-in 
58,Penalty faced
59,GK Sweeper
60,Chance Missed
61,Ball touch
63,Temp_Save
64,Resume
65,CRD